event_id,discussion_id
e_00003,d_parent_a7f2096eda56
e_00096,d_parent_76931be747ef
e_00300,d_parent_70e685ec2e1a
e_00096,d_parent_0b7893ab56f5
e_00078,d_parent_6edeac79be3c
e_00301,d_parent_ddb11db78111
e_00096,d_parent_9a1a5cf901ca
e_00302,d_parent_0e63433b9a39
e_00303,d_parent_30db08acc7ca
e_00003,d_parent_2993dd307a14
e_00003,d_parent_a8df8b6203b3
e_00096,d_parent_85523a3c0d4e
e_00003,d_parent_6e957f34879c
e_00135,d_parent_67a16114c794
e_00051,d_parent_e0fa6b7eb1db
e_00304,d_parent_b75b43c6be53
e_00003,d_parent_7ae4ac639f77
e_00304,d_parent_46581e3bcf01
e_00096,d_parent_ae2cfe9d3436
e_00135,d_parent_83cff875ba8d
e_00078,d_parent_cb259dc9ad64
e_00305,d_parent_582c4c418653
e_00305,d_parent_68ed67c4dc18
e_00306,d_parent_a733d844314d
e_00012,d_parent_7a16ca00b500
e_00110,d_parent_564c2c0b9539
e_00135,d_parent_8cd01b3d2dc7
e_00135,d_parent_89969d9abea0
e_01424,d_parent_a40449abcb1e
e_00003,d_parent_ffc1825d692a
e_00096,d_parent_562bb35a06ea
e_00096,d_parent_861c7ece9584
e_00012,d_parent_9b3336f9e39e
e_00003,d_parent_bc33b44a35f5
e_00003,d_parent_4738ccaff3f3
e_00307,d_parent_0a47e1463212
e_00003,d_parent_00b07c6e5ab1
e_00012,d_parent_41c95997e2e0
e_00135,d_parent_066fce11fbe4
e_00308,d_parent_0b0012102b7c
e_00012,d_parent_fab88fe02780
e_00051,d_parent_e43646eada7b
e_00051,d_parent_43b8d9ec3220
e_00309,d_parent_4a69c8ca6585
e_00135,d_parent_01e9ff4223f9
e_00310,d_parent_f164bf8c4f2c
e_00096,d_parent_d223d1ff8608
e_00096,d_parent_aafa183d43da
e_00311,d_parent_a073610288c2
e_00078,d_parent_4ce31861314b
e_00051,d_parent_e70fb845a0c0
e_00012,d_parent_0f4a22252c1f
e_00003,d_parent_cb4895b69d03
e_00135,d_parent_01675275e17d
e_00312,d_parent_917936b53d49
e_00003,d_parent_3581072bed26
e_00096,d_parent_e09b1fcf9a63
e_00313,d_parent_d8954c642c26
e_00012,d_parent_e6663fce001a
e_00003,d_parent_5522d30f0753
e_00096,d_parent_cbcc8463447f
e_00096,d_parent_958ff26ce3d9
e_00314,d_parent_c636e03218fe
e_00315,d_parent_b86cdab58bc2
e_00316,d_parent_522cd2c6afd6
e_00135,d_parent_26c29edde88f
e_00096,d_parent_36428dab01fe
e_00003,d_parent_94f38882bf1d
e_00096,d_parent_d17ee57cb5ab
e_00096,d_parent_dca666b41f86
e_00096,d_parent_3f77c1076890
e_00269,d_parent_d570a99b43ef
e_00003,d_parent_b4f6ce9ccf9f
e_00096,d_parent_f415df328b5b
e_00078,d_parent_e2a27f93e310
e_00317,d_parent_4d65d793f773
e_00003,d_parent_1c4a523fb08c
e_00003,d_parent_b05bed6edc4f
e_00012,d_parent_1571c6f58203
e_00318,d_parent_2db9f9258984
e_00003,d_parent_4c1ccc912d41
e_00012,d_parent_90ca15056091
e_00135,d_parent_dd015eafd0bf
e_00003,d_parent_8bf4b13330a0
e_00096,d_parent_3f93ad90062f
e_00096,d_parent_426f0f0feacf
e_00003,d_parent_e1c8edd2a39a
e_00012,d_parent_8e41ff7b78e3
e_00012,d_parent_db51bf0e5b65
e_00096,d_parent_8a2687cd8581
e_00096,d_parent_e6f8d6c4961f
e_00096,d_parent_3834fa471f3b
e_00319,d_parent_20e7abe396a3
e_00320,d_parent_4e80ea26b6d2
e_00235,d_parent_b4aa3688456e
e_00003,d_parent_471cf2f6837e
e_00003,d_parent_9b45abd1f232
e_00003,d_parent_ff5ff29d764f
e_00003,d_parent_0bad8bb60fff
e_00051,d_parent_e194916061c2
e_00096,d_parent_e223927bc7fa
e_00096,d_parent_80d166954fa6
e_00096,d_parent_4303891843a8
e_00003,d_parent_2c5ef1a4dbc1
e_00012,d_parent_47cbf48d7e5e
e_00051,d_parent_e0830d8190eb
e_00003,d_parent_651ab33b894b
e_00096,d_parent_edcc6ae0105f
e_00003,d_parent_2c95c2a99403
e_00003,d_parent_aa2a15b9e525
e_00135,d_parent_c501e2fd78bb
e_00321,d_parent_1c47c0177347
e_00322,d_parent_f08be9f6a6c3
e_00003,d_parent_9748cb414b7e
